case_id,strategy,delta_components,cldice_original,dice_original,components_original
862,s2_relative_volume__frac_0.01,-2,0.8615645035018303,0.7751949991702163,5
863,s2_relative_volume__frac_0.01,-6,0.9027023430287202,0.816482582837723,11
864,s2_relative_volume__frac_0.01,-5,0.8995035863320433,0.8235603207766699,8
865,s2_relative_volume__frac_0.01,-4,0.8454213975361364,0.7569572523464076,8
866,s2_relative_volume__frac_0.01,-6,0.8837144549954836,0.8099173553719008,9
867,s2_relative_volume__frac_0.01,-16,0.8588555620715398,0.7703085432493669,21
868,s2_relative_volume__frac_0.01,-7,0.7982492516231031,0.7497774429911662,14
869,s2_relative_volume__frac_0.01,-12,0.8068802866992146,0.710191119984122,16
870,s2_relative_volume__frac_0.01,-5,0.7664790848654088,0.7165939379643826,9
871,s2_relative_volume__frac_0.01,-6,0.8658064034071806,0.8125039330438613,10
872,s2_relative_volume__frac_0.01,-8,0.8395546976055525,0.7858438435905007,16
873,s2_relative_volume__frac_0.01,-11,0.9008694837314842,0.8545945831838044,14
874,s2_relative_volume__frac_0.01,-3,0.8222655444763145,0.7601830928790776,7
875,s2_relative_volume__frac_0.01,-4,0.8957259823601934,0.7883833388284427,9
876,s2_relative_volume__frac_0.01,-5,0.8482733805482419,0.757807241889891,10
877,s2_relative_volume__frac_0.01,-6,0.8823420874592534,0.7981675565223123,10
878,s2_relative_volume__frac_0.01,-4,0.9087843711637856,0.7932161558216323,9
879,s2_relative_volume__frac_0.01,0,0.974418475344614,0.8646012781328146,3
880,s2_relative_volume__frac_0.01,-4,0.8528558949845922,0.7624281788658506,9
881,s2_relative_volume__frac_0.01,-8,0.8692947138891577,0.7571347885311804,14
882,s2_relative_volume__frac_0.01,-10,0.8995114055334074,0.8321445947764516,13
883,s2_relative_volume__frac_0.01,-3,0.9045769242818207,0.78827065566895,9
884,s2_relative_volume__frac_0.01,-1,0.944370988292425,0.8392627757609606,4
885,s2_relative_volume__frac_0.01,-5,0.8895559196571494,0.7919306252852579,13
886,s2_relative_volume__frac_0.01,-5,0.7341404958677686,0.6621120889300602,11
887,s2_relative_volume__frac_0.01,-10,0.7849126902755249,0.743825687864949,19
888,s2_relative_volume__frac_0.01,-4,0.8702704670379673,0.8044426814756049,7
889,s2_relative_volume__frac_0.01,-3,0.9034137697509753,0.77680744452398,8
890,s2_relative_volume__frac_0.01,0,0.929893335764427,0.8515598373133989,2
891,s2_relative_volume__frac_0.01,-2,0.868469019307618,0.7990848483357524,8
892,s2_relative_volume__frac_0.01,-27,0.73915300656866,0.6996138796699253,32
893,s2_relative_volume__frac_0.01,-3,0.9191082802547771,0.8368797993639631,7
894,s2_relative_volume__frac_0.01,-4,0.7862534503385177,0.7047704874469978,12
895,s2_relative_volume__frac_0.01,-13,0.8578128307405565,0.7415304203716098,17
896,s2_relative_volume__frac_0.01,-3,0.7981827042251359,0.7056285331949641,12
897,s2_relative_volume__frac_0.01,-2,0.8652808315010994,0.7898065476190477,9
898,s2_relative_volume__frac_0.01,-3,0.9641997140580875,0.8440178976720057,5
899,s2_relative_volume__frac_0.01,-6,0.8998671999561251,0.8343055602387295,11
900,s2_relative_volume__frac_0.01,-3,0.9354512224703688,0.8312931605335352,5
901,s2_relative_volume__frac_0.01,-12,0.7779801554098892,0.7203268119873616,17
902,s2_relative_volume__frac_0.01,-6,0.838146672834019,0.7290556542332741,10
903,s2_relative_volume__frac_0.01,-6,0.9174358176497225,0.8312141061631897,8
904,s2_relative_volume__frac_0.01,-12,0.8038306935704255,0.7038986145419397,16
905,s2_relative_volume__frac_0.01,-8,0.8824355118475516,0.7445847842766924,12
906,s2_relative_volume__frac_0.01,-7,0.8586781643247481,0.8284926404755936,12
907,s2_relative_volume__frac_0.01,-5,0.8322426036672229,0.7811066687436177,9
908,s2_relative_volume__frac_0.01,-7,0.9490749768010056,0.8207323623266247,10
909,s2_relative_volume__frac_0.01,-7,0.8186136215113405,0.6547097167689552,10
910,s2_relative_volume__frac_0.01,-7,0.830712947953865,0.765635758969776,11
911,s2_relative_volume__frac_0.01,-2,0.8994403934203832,0.8260514566648716,6
912,s2_relative_volume__frac_0.01,-7,0.8728969663422359,0.7864322885766107,10
913,s2_relative_volume__frac_0.01,-4,0.8516898387126687,0.7737874097007224,10
914,s2_relative_volume__frac_0.01,-6,0.8209027097154318,0.7370343487321174,10
915,s2_relative_volume__frac_0.01,-7,0.932528929170243,0.8377824858757063,9
916,s2_relative_volume__frac_0.01,-4,0.8375097384189295,0.7766102510628058,7
